report_id,facility_type,region,inspection_report,co_risk_level
RPT-0299,Power station,East,Audit 299 at Power station: CO reached 49 ppm when secondary burner cycled. Filters overdue by 4 weeks.,Medium
RPT-0300,Cement plant,West,CRITICAL RPT-0300: Cement plant CO peaked at 210 ppm. Failed stack test; cracked heat exchanger identified.,High
RPT-0301,Power station,South,Site 301: Power station outlet CO 15 ppm. Quarterly burner tuning complete. Ventilation adequate per EPA limits.,Low
RPT-0302,Cement plant,North,Inspection RPT-0302: Cement plant stack CO averaged 16 ppm with stable combustion. Scrubbers serviced; no visible leaks.,Low
RPT-0303,Chemical refinery,South,Emergency 303: Chemical refinery reading 213 ppm CO in enclosed bay. Sensors tripped; ventilation inadequate.,High
RPT-0304,Cement plant,North,CRITICAL RPT-0304: Cement plant CO peaked at 214 ppm. Failed stack test; cracked heat exchanger identified.,High
RPT-0305,Cement plant,West,Emergency 305: Cement plant reading 215 ppm CO in enclosed bay. Sensors tripped; ventilation inadequate.,High
RPT-0306,Foundry,East,RPT-0306: Foundry intermittent CO spikes to 41 ppm during shift change. Aging ductwork may restrict flow.,Medium
RPT-0307,Power station,West,Emergency 307: Power station reading 217 ppm CO in enclosed bay. Sensors tripped; ventilation inadequate.,High
RPT-0308,Power station,Central,CRITICAL RPT-0308: Power station CO peaked at 218 ppm. Failed stack test; cracked heat exchanger identified.,High
RPT-0309,Power station,West,Audit 309 at Power station: CO reached 44 ppm when secondary burner cycled. Filters overdue by 6 weeks.,Medium
RPT-0310,Foundry,Central,CRITICAL RPT-0310: Foundry CO peaked at 220 ppm. Failed stack test; cracked heat exchanger identified.,High
RPT-0311,Foundry,North,Audit 311 at Foundry: CO reached 46 ppm when secondary burner cycled. Filters overdue by 8 weeks.,Medium
RPT-0312,Foundry,West,Inspection RPT-0312: Foundry stack CO averaged 10 ppm with stable combustion. Scrubbers serviced; no visible leaks.,Low
RPT-0313,Steel mill,South,Emergency 313: Steel mill reading 223 ppm CO in enclosed bay. Sensors tripped; ventilation inadequate.,High
RPT-0314,Foundry,North,RPT-0314: Foundry intermittent CO spikes to 49 ppm during shift change. Aging ductwork may restrict flow.,Medium
RPT-0315,Foundry,North,Site 315: Foundry outlet CO 13 ppm. Quarterly burner tuning complete. Ventilation adequate per EPA limits.,Low
RPT-0316,Cement plant,West,Inspection RPT-0316: Cement plant stack CO averaged 14 ppm with stable combustion. Scrubbers serviced; no visible leaks.,Low
RPT-0317,Chemical refinery,East,Emergency 317: Chemical refinery reading 227 ppm CO in enclosed bay. Sensors tripped; ventilation inadequate.,High
RPT-0318,Power station,East,Inspection RPT-0318: Power station stack CO averaged 16 ppm with stable combustion. Scrubbers serviced; no visible leaks.,Low
RPT-0319,Foundry,Central,Emergency 319: Foundry reading 229 ppm CO in enclosed bay. Sensors tripped; ventilation inadequate.,High
RPT-0320,Cement plant,West,RPT-0320: Cement plant intermittent CO spikes to 40 ppm during shift change. Aging ductwork may restrict flow.,Medium
RPT-0321,Steel mill,North,Audit 321 at Steel mill: CO reached 41 ppm when secondary burner cycled. Filters overdue by 2 weeks.,Medium
RPT-0322,Cement plant,Central,CRITICAL RPT-0322: Cement plant CO peaked at 152 ppm. Failed stack test; cracked heat exchanger identified.,High
RPT-0323,Cement plant,East,Site 323: Cement plant outlet CO 13 ppm. Quarterly burner tuning complete. Ventilation adequate per EPA limits.,Low
RPT-0324,Power station,West,Inspection RPT-0324: Power station stack CO averaged 14 ppm with stable combustion. Scrubbers serviced; no visible leaks.,Low
RPT-0325,Foundry,South,Emergency 325: Foundry reading 155 ppm CO in enclosed bay. Sensors tripped; ventilation inadequate.,High
RPT-0326,Power station,East,Inspection RPT-0326: Power station stack CO averaged 16 ppm with stable combustion. Scrubbers serviced; no visible leaks.,Low
RPT-0327,Cement plant,North,Audit 327 at Cement plant: CO reached 47 ppm when secondary burner cycled. Filters overdue by 8 weeks.,Medium
RPT-0328,Steel mill,West,Inspection RPT-0328: Steel mill stack CO averaged 10 ppm with stable combustion. Scrubbers serviced; no visible leaks.,Low
RPT-0329,Chemical refinery,West,Site 329: Chemical refinery outlet CO 11 ppm. Quarterly burner tuning complete. Ventilation adequate per EPA limits.,Low
RPT-0330,Foundry,South,RPT-0330: Foundry intermittent CO spikes to 35 ppm during shift change. Aging ductwork may restrict flow.,Medium
RPT-0331,Power station,North,Audit 331 at Power station: CO reached 36 ppm when secondary burner cycled. Filters overdue by 4 weeks.,Medium
RPT-0332,Cement plant,Central,CRITICAL RPT-0332: Cement plant CO peaked at 162 ppm. Failed stack test; cracked heat exchanger identified.,High
RPT-0333,Cement plant,South,Site 333: Cement plant outlet CO 15 ppm. Quarterly burner tuning complete. Ventilation adequate per EPA limits.,Low
RPT-0334,Cement plant,North,CRITICAL RPT-0334: Cement plant CO peaked at 164 ppm. Failed stack test; cracked heat exchanger identified.,High
RPT-0335,Power station,West,Site 335: Power station outlet CO 17 ppm. Quarterly burner tuning complete. Ventilation adequate per EPA limits.,Low
RPT-0336,Chemical refinery,North,RPT-0336: Chemical refinery intermittent CO spikes to 41 ppm during shift change. Aging ductwork may restrict flow.,Medium
RPT-0337,Cement plant,North,Emergency 337: Cement plant reading 167 ppm CO in enclosed bay. Sensors tripped; ventilation inadequate.,High
RPT-0338,Foundry,North,CRITICAL RPT-0338: Foundry CO peaked at 168 ppm. Failed stack test; cracked heat exchanger identified.,High
RPT-0339,Power station,West,Audit 339 at Power station: CO reached 44 ppm when secondary burner cycled. Filters overdue by 4 weeks.,Medium
RPT-0340,Foundry,Central,CRITICAL RPT-0340: Foundry CO peaked at 170 ppm. Failed stack test; cracked heat exchanger identified.,High
RPT-0341,Power station,Central,Site 341: Power station outlet CO 15 ppm. Quarterly burner tuning complete. Ventilation adequate per EPA limits.,Low
RPT-0342,Power station,West,RPT-0342: Power station intermittent CO spikes to 47 ppm during shift change. Aging ductwork may restrict flow.,Medium
RPT-0343,Steel mill,North,Audit 343 at Steel mill: CO reached 48 ppm when secondary burner cycled. Filters overdue by 8 weeks.,Medium
RPT-0344,Cement plant,East,CRITICAL RPT-0344: Cement plant CO peaked at 174 ppm. Failed stack test; cracked heat exchanger identified.,High
RPT-0345,Foundry,South,Audit 345 at Foundry: CO reached 35 ppm when secondary burner cycled. Filters overdue by 2 weeks.,Medium
RPT-0346,Steel mill,North,Inspection RPT-0346: Steel mill stack CO averaged 12 ppm with stable combustion. Scrubbers serviced; no visible leaks.,Low
RPT-0347,Chemical refinery,North,Site 347: Chemical refinery outlet CO 13 ppm. Quarterly burner tuning complete. Ventilation adequate per EPA limits.,Low
RPT-0348,Foundry,East,CRITICAL RPT-0348: Foundry CO peaked at 178 ppm. Failed stack test; cracked heat exchanger identified.,High
RPT-0349,Chemical refinery,North,Emergency 349: Chemical refinery reading 179 ppm CO in enclosed bay. Sensors tripped; ventilation inadequate.,High
RPT-0350,Steel mill,South,RPT-0350: Steel mill intermittent CO spikes to 40 ppm during shift change. Aging ductwork may restrict flow.,Medium
RPT-0351,Cement plant,Central,Audit 351 at Cement plant: CO reached 41 ppm when secondary burner cycled. Filters overdue by 8 weeks.,Medium
RPT-0352,Foundry,Central,RPT-0352: Foundry intermittent CO spikes to 42 ppm during shift change. Aging ductwork may restrict flow.,Medium
RPT-0353,Cement plant,Central,Emergency 353: Cement plant reading 183 ppm CO in enclosed bay. Sensors tripped; ventilation inadequate.,High
RPT-0354,Chemical refinery,North,CRITICAL RPT-0354: Chemical refinery CO peaked at 184 ppm. Failed stack test; cracked heat exchanger identified.,High
RPT-0355,Chemical refinery,West,Site 355: Chemical refinery outlet CO 13 ppm. Quarterly burner tuning complete. Ventilation adequate per EPA limits.,Low
RPT-0356,Steel mill,Central,CRITICAL RPT-0356: Steel mill CO peaked at 186 ppm. Failed stack test; cracked heat exchanger identified.,High
RPT-0357,Steel mill,South,Site 357: Steel mill outlet CO 15 ppm. Quarterly burner tuning complete. Ventilation adequate per EPA limits.,Low
RPT-0358,Steel mill,East,RPT-0358: Steel mill intermittent CO spikes to 48 ppm during shift change. Aging ductwork may restrict flow.,Medium
RPT-0359,Chemical refinery,Central,Audit 359 at Chemical refinery: CO reached 49 ppm when secondary burner cycled. Filters overdue by 8 weeks.,Medium
RPT-0360,Cement plant,Central,RPT-0360: Cement plant intermittent CO spikes to 35 ppm during shift change. Aging ductwork may restrict flow.,Medium
RPT-0361,Steel mill,Central,Site 361: Steel mill outlet CO 11 ppm. Quarterly burner tuning complete. Ventilation adequate per EPA limits.,Low
RPT-0362,Steel mill,Central,RPT-0362: Steel mill intermittent CO spikes to 37 ppm during shift change. Aging ductwork may restrict flow.,Medium
RPT-0363,Chemical refinery,East,Audit 363 at Chemical refinery: CO reached 38 ppm when secondary burner cycled. Filters overdue by 4 weeks.,Medium
RPT-0364,Chemical refinery,Central,RPT-0364: Chemical refinery intermittent CO spikes to 39 ppm during shift change. Aging ductwork may restrict flow.,Medium
RPT-0365,Chemical refinery,Central,Emergency 365: Chemical refinery reading 195 ppm CO in enclosed bay. Sensors tripped; ventilation inadequate.,High
RPT-0366,Foundry,West,RPT-0366: Foundry intermittent CO spikes to 41 ppm during shift change. Aging ductwork may restrict flow.,Medium
RPT-0367,Power station,Central,Emergency 367: Power station reading 197 ppm CO in enclosed bay. Sensors tripped; ventilation inadequate.,High
RPT-0368,Cement plant,South,RPT-0368: Cement plant intermittent CO spikes to 43 ppm during shift change. Aging ductwork may restrict flow.,Medium
RPT-0369,Steel mill,West,Site 369: Steel mill outlet CO 11 ppm. Quarterly burner tuning complete. Ventilation adequate per EPA limits.,Low
RPT-0370,Steel mill,South,RPT-0370: Steel mill intermittent CO spikes to 45 ppm during shift change. Aging ductwork may restrict flow.,Medium
RPT-0371,Foundry,West,Emergency 371: Foundry reading 201 ppm CO in enclosed bay. Sensors tripped; ventilation inadequate.,High
RPT-0372,Steel mill,Central,Inspection RPT-0372: Steel mill stack CO averaged 14 ppm with stable combustion. Scrubbers serviced; no visible leaks.,Low
RPT-0373,Cement plant,South,Site 373: Cement plant outlet CO 15 ppm. Quarterly burner tuning complete. Ventilation adequate per EPA limits.,Low
RPT-0374,Chemical refinery,North,Inspection RPT-0374: Chemical refinery stack CO averaged 16 ppm with stable combustion. Scrubbers serviced; no visible leaks.,Low
RPT-0375,Chemical refinery,Central,Site 375: Chemical refinery outlet CO 17 ppm. Quarterly burner tuning complete. Ventilation adequate per EPA limits.,Low
RPT-0376,Chemical refinery,North,CRITICAL RPT-0376: Chemical refinery CO peaked at 206 ppm. Failed stack test; cracked heat exchanger identified.,High
RPT-0377,Chemical refinery,Central,Site 377: Chemical refinery outlet CO 11 ppm. Quarterly burner tuning complete. Ventilation adequate per EPA limits.,Low
RPT-0378,Foundry,South,CRITICAL RPT-0378: Foundry CO peaked at 208 ppm. Failed stack test; cracked heat exchanger identified.,High
RPT-0379,Cement plant,East,Site 379: Cement plant outlet CO 13 ppm. Quarterly burner tuning complete. Ventilation adequate per EPA limits.,Low
RPT-0380,Power station,North,CRITICAL RPT-0380: Power station CO peaked at 210 ppm. Failed stack test; cracked heat exchanger identified.,High
RPT-0381,Cement plant,West,Audit 381 at Cement plant: CO reached 41 ppm when secondary burner cycled. Filters overdue by 6 weeks.,Medium
RPT-0382,Foundry,West,CRITICAL RPT-0382: Foundry CO peaked at 212 ppm. Failed stack test; cracked heat exchanger identified.,High
RPT-0383,Power station,North,Emergency 383: Power station reading 213 ppm CO in enclosed bay. Sensors tripped; ventilation inadequate.,High
RPT-0384,Foundry,East,Inspection RPT-0384: Foundry stack CO averaged 10 ppm with stable combustion. Scrubbers serviced; no visible leaks.,Low
RPT-0385,Foundry,South,Audit 385 at Foundry: CO reached 45 ppm when secondary burner cycled. Filters overdue by 2 weeks.,Medium
RPT-0386,Foundry,East,RPT-0386: Foundry intermittent CO spikes to 46 ppm during shift change. Aging ductwork may restrict flow.,Medium
RPT-0387,Steel mill,East,Emergency 387: Steel mill reading 217 ppm CO in enclosed bay. Sensors tripped; ventilation inadequate.,High
RPT-0388,Steel mill,West,Inspection RPT-0388: Steel mill stack CO averaged 14 ppm with stable combustion. Scrubbers serviced; no visible leaks.,Low
RPT-0389,Foundry,Central,Emergency 389: Foundry reading 219 ppm CO in enclosed bay. Sensors tripped; ventilation inadequate.,High
RPT-0390,Foundry,Central,Inspection RPT-0390: Foundry stack CO averaged 16 ppm with stable combustion. Scrubbers serviced; no visible leaks.,Low
RPT-0391,Steel mill,East,Emergency 391: Steel mill reading 221 ppm CO in enclosed bay. Sensors tripped; ventilation inadequate.,High
RPT-0392,Chemical refinery,East,RPT-0392: Chemical refinery intermittent CO spikes to 37 ppm during shift change. Aging ductwork may restrict flow.,Medium
RPT-0393,Power station,South,Site 393: Power station outlet CO 11 ppm. Quarterly burner tuning complete. Ventilation adequate per EPA limits.,Low
RPT-0394,Chemical refinery,East,RPT-0394: Chemical refinery intermittent CO spikes to 39 ppm during shift change. Aging ductwork may restrict flow.,Medium
RPT-0395,Cement plant,South,Audit 395 at Cement plant: CO reached 40 ppm when secondary burner cycled. Filters overdue by 4 weeks.,Medium
RPT-0396,Steel mill,North,Inspection RPT-0396: Steel mill stack CO averaged 14 ppm with stable combustion. Scrubbers serviced; no visible leaks.,Low
RPT-0397,Cement plant,West,Emergency 397: Cement plant reading 227 ppm CO in enclosed bay. Sensors tripped; ventilation inadequate.,High
RPT-0398,Foundry,West,Inspection RPT-0398: Foundry stack CO averaged 16 ppm with stable combustion. Scrubbers serviced; no visible leaks.,Low
RPT-0399,Foundry,East,Site 399: Foundry outlet CO 17 ppm. Quarterly burner tuning complete. Ventilation adequate per EPA limits.,Low
RPT-0400,Power station,Central,RPT-0400: Power station intermittent CO spikes to 45 ppm during shift change. Aging ductwork may restrict flow.,Medium
RPT-0401,Chemical refinery,South,Emergency 401: Chemical refinery reading 151 ppm CO in enclosed bay. Sensors tripped; ventilation inadequate.,High
RPT-0402,Steel mill,Central,CRITICAL RPT-0402: Steel mill CO peaked at 152 ppm. Failed stack test; cracked heat exchanger identified.,High
RPT-0403,Cement plant,North,Site 403: Cement plant outlet CO 13 ppm. Quarterly burner tuning complete. Ventilation adequate per EPA limits.,Low
RPT-0404,Power station,Central,Inspection RPT-0404: Power station stack CO averaged 14 ppm with stable combustion. Scrubbers serviced; no visible leaks.,Low
RPT-0405,Steel mill,North,Site 405: Steel mill outlet CO 15 ppm. Quarterly burner tuning complete. Ventilation adequate per EPA limits.,Low
RPT-0406,Foundry,East,CRITICAL RPT-0406: Foundry CO peaked at 156 ppm. Failed stack test; cracked heat exchanger identified.,High
RPT-0407,Power station,North,Emergency 407: Power station reading 157 ppm CO in enclosed bay. Sensors tripped; ventilation inadequate.,High
RPT-0408,Foundry,East,CRITICAL RPT-0408: Foundry CO peaked at 158 ppm. Failed stack test; cracked heat exchanger identified.,High
RPT-0409,Steel mill,East,Audit 409 at Steel mill: CO reached 39 ppm when secondary burner cycled. Filters overdue by 2 weeks.,Medium
RPT-0410,Cement plant,South,Inspection RPT-0410: Cement plant stack CO averaged 12 ppm with stable combustion. Scrubbers serviced; no visible leaks.,Low
RPT-0411,Chemical refinery,East,Site 411: Chemical refinery outlet CO 13 ppm. Quarterly burner tuning complete. Ventilation adequate per EPA limits.,Low
RPT-0412,Power station,East,RPT-0412: Power station intermittent CO spikes to 42 ppm during shift change. Aging ductwork may restrict flow.,Medium
RPT-0413,Cement plant,North,Site 413: Cement plant outlet CO 15 ppm. Quarterly burner tuning complete. Ventilation adequate per EPA limits.,Low
RPT-0414,Steel mill,Central,CRITICAL RPT-0414: Steel mill CO peaked at 164 ppm. Failed stack test; cracked heat exchanger identified.,High
RPT-0415,Foundry,Central,Site 415: Foundry outlet CO 17 ppm. Quarterly burner tuning complete. Ventilation adequate per EPA limits.,Low
RPT-0416,Chemical refinery,East,RPT-0416: Chemical refinery intermittent CO spikes to 46 ppm during shift change. Aging ductwork may restrict flow.,Medium
RPT-0417,Cement plant,East,Emergency 417: Cement plant reading 167 ppm CO in enclosed bay. Sensors tripped; ventilation inadequate.,High
RPT-0418,Foundry,North,Inspection RPT-0418: Foundry stack CO averaged 12 ppm with stable combustion. Scrubbers serviced; no visible leaks.,Low
RPT-0419,Chemical refinery,East,Audit 419 at Chemical refinery: CO reached 49 ppm when secondary burner cycled. Filters overdue by 4 weeks.,Medium
RPT-0420,Foundry,South,RPT-0420: Foundry intermittent CO spikes to 35 ppm during shift change. Aging ductwork may restrict flow.,Medium
RPT-0421,Steel mill,North,Audit 421 at Steel mill: CO reached 36 ppm when secondary burner cycled. Filters overdue by 6 weeks.,Medium
RPT-0422,Steel mill,North,Inspection RPT-0422: Steel mill stack CO averaged 16 ppm with stable combustion. Scrubbers serviced; no visible leaks.,Low
RPT-0423,Power station,Central,Site 423: Power station outlet CO 17 ppm. Quarterly burner tuning complete. Ventilation adequate per EPA limits.,Low
RPT-0424,Foundry,West,RPT-0424: Foundry intermittent CO spikes to 39 ppm during shift change. Aging ductwork may restrict flow.,Medium
RPT-0425,Foundry,East,Site 425: Foundry outlet CO 11 ppm. Quarterly burner tuning complete. Ventilation adequate per EPA limits.,Low
RPT-0426,Cement plant,Central,RPT-0426: Cement plant intermittent CO spikes to 41 ppm during shift change. Aging ductwork may restrict flow.,Medium
RPT-0427,Steel mill,West,Emergency 427: Steel mill reading 177 ppm CO in enclosed bay. Sensors tripped; ventilation inadequate.,High
RPT-0428,Foundry,West,Inspection RPT-0428: Foundry stack CO averaged 14 ppm with stable combustion. Scrubbers serviced; no visible leaks.,Low
RPT-0429,Steel mill,West,Audit 429 at Steel mill: CO reached 44 ppm when secondary burner cycled. Filters overdue by 6 weeks.,Medium
RPT-0430,Power station,South,Inspection RPT-0430: Power station stack CO averaged 16 ppm with stable combustion. Scrubbers serviced; no visible leaks.,Low
RPT-0431,Cement plant,Central,Emergency 431: Cement plant reading 181 ppm CO in enclosed bay. Sensors tripped; ventilation inadequate.,High
RPT-0432,Chemical refinery,West,CRITICAL RPT-0432: Chemical refinery CO peaked at 182 ppm. Failed stack test; cracked heat exchanger identified.,High
RPT-0433,Cement plant,East,Audit 433 at Cement plant: CO reached 48 ppm when secondary burner cycled. Filters overdue by 2 weeks.,Medium
RPT-0434,Chemical refinery,North,RPT-0434: Chemical refinery intermittent CO spikes to 49 ppm during shift change. Aging ductwork may restrict flow.,Medium
RPT-0435,Steel mill,East,Audit 435 at Steel mill: CO reached 35 ppm when secondary burner cycled. Filters overdue by 4 weeks.,Medium
RPT-0436,Power station,South,RPT-0436: Power station intermittent CO spikes to 36 ppm during shift change. Aging ductwork may restrict flow.,Medium
RPT-0437,Chemical refinery,Central,Emergency 437: Chemical refinery reading 187 ppm CO in enclosed bay. Sensors tripped; ventilation inadequate.,High
RPT-0438,Foundry,North,Inspection RPT-0438: Foundry stack CO averaged 16 ppm with stable combustion. Scrubbers serviced; no visible leaks.,Low
RPT-0439,Power station,North,Emergency 439: Power station reading 189 ppm CO in enclosed bay. Sensors tripped; ventilation inadequate.,High
RPT-0440,Chemical refinery,North,RPT-0440: Chemical refinery intermittent CO spikes to 40 ppm during shift change. Aging ductwork may restrict flow.,Medium
RPT-0441,Chemical refinery,West,Audit 441 at Chemical refinery: CO reached 41 ppm when secondary burner cycled. Filters overdue by 2 weeks.,Medium
RPT-0442,Foundry,Central,RPT-0442: Foundry intermittent CO spikes to 42 ppm during shift change. Aging ductwork may restrict flow.,Medium
RPT-0443,Cement plant,West,Audit 443 at Cement plant: CO reached 43 ppm when secondary burner cycled. Filters overdue by 4 weeks.,Medium
RPT-0444,Power station,South,Inspection RPT-0444: Power station stack CO averaged 14 ppm with stable combustion. Scrubbers serviced; no visible leaks.,Low
RPT-0445,Foundry,West,Audit 445 at Foundry: CO reached 45 ppm when secondary burner cycled. Filters overdue by 6 weeks.,Medium
RPT-0446,Foundry,Central,CRITICAL RPT-0446: Foundry CO peaked at 196 ppm. Failed stack test; cracked heat exchanger identified.,High
RPT-0447,Cement plant,North,Site 447: Cement plant outlet CO 17 ppm. Quarterly burner tuning complete. Ventilation adequate per EPA limits.,Low
RPT-0448,Foundry,North,CRITICAL RPT-0448: Foundry CO peaked at 198 ppm. Failed stack test; cracked heat exchanger identified.,High
RPT-0449,Foundry,East,Audit 449 at Foundry: CO reached 49 ppm when secondary burner cycled. Filters overdue by 2 weeks.,Medium
RPT-0450,Foundry,West,Inspection RPT-0450: Foundry stack CO averaged 12 ppm with stable combustion. Scrubbers serviced; no visible leaks.,Low
