inspection_id,product_line,shift,qa_report,defect_severity
QA-0001,Industrial pump,Evening,Inspection 1: surface finish on Industrial pump batch B-1 slightly below spec on non-critical panel.,Minor
QA-0002,Medical device housing,Evening,QA-0002: Medical device housing unit 2 passed dimensional check with minor cosmetic scratch. No functional impact.,Minor
QA-0003,Automotive sensor,Day,Hold 3: Automotive sensor weld crack on bracket batch W-3. Full lot recall recommended.,Critical
QA-0004,Industrial pump,Night,CRITICAL QA-0004: Industrial pump serial 4 safety interlock failed stress test. Stop-ship issued.,Critical
QA-0005,Medical device housing,Night,Line audit 5: torque variance on Medical device housing assembly; 1 units exceed upper control limit.,Major
QA-0006,Medical device housing,Night,QA-0006: Medical device housing unit 6 passed dimensional check with minor cosmetic scratch. No functional impact.,Minor
QA-0007,PCB module,Day,Line audit 7: torque variance on PCB module assembly; 3 units exceed upper control limit.,Major
QA-0008,Hydraulic valve,Evening,QA-0008: Hydraulic valve unit 8 passed dimensional check with minor cosmetic scratch. No functional impact.,Minor
QA-0009,Hydraulic valve,Day,Hold 9: Hydraulic valve weld crack on bracket batch W-9. Full lot recall recommended.,Critical
QA-0010,PCB module,Day,QA-0010: PCB module unit 10 passed dimensional check with minor cosmetic scratch. No functional impact.,Minor
QA-0011,PCB module,Evening,Line audit 11: torque variance on PCB module assembly; 2 units exceed upper control limit.,Major
QA-0012,Hydraulic valve,Day,QA-0012: Hydraulic valve unit 12 passed dimensional check with minor cosmetic scratch. No functional impact.,Minor
QA-0013,Automotive sensor,Night,Line audit 13: torque variance on Automotive sensor assembly; 4 units exceed upper control limit.,Major
QA-0014,Automotive sensor,Evening,CRITICAL QA-0014: Automotive sensor serial 14 safety interlock failed stress test. Stop-ship issued.,Critical
QA-0015,Medical device housing,Evening,Inspection 15: surface finish on Medical device housing batch B-15 slightly below spec on non-critical panel.,Minor
QA-0016,Automotive sensor,Evening,CRITICAL QA-0016: Automotive sensor serial 16 safety interlock failed stress test. Stop-ship issued.,Critical
QA-0017,Hydraulic valve,Night,Inspection 17: surface finish on Hydraulic valve batch B-17 slightly below spec on non-critical panel.,Minor
QA-0018,Automotive sensor,Evening,QA-0018: Automotive sensor lot L-18 solder bridge on control board affecting 4% of units. Rework queue initiated.,Major
QA-0019,PCB module,Day,Line audit 19: torque variance on PCB module assembly; 5 units exceed upper control limit.,Major
QA-0020,PCB module,Evening,QA-0020: PCB module unit 20 passed dimensional check with minor cosmetic scratch. No functional impact.,Minor
QA-0021,Industrial pump,Night,Line audit 21: torque variance on Industrial pump assembly; 2 units exceed upper control limit.,Major
QA-0022,Industrial pump,Night,QA-0022: Industrial pump unit 22 passed dimensional check with minor cosmetic scratch. No functional impact.,Minor
QA-0023,Hydraulic valve,Day,Hold 23: Hydraulic valve weld crack on bracket batch W-23. Full lot recall recommended.,Critical
QA-0024,Hydraulic valve,Night,CRITICAL QA-0024: Hydraulic valve serial 24 safety interlock failed stress test. Stop-ship issued.,Critical
QA-0025,Industrial pump,Night,Hold 25: Industrial pump weld crack on bracket batch W-25. Full lot recall recommended.,Critical
QA-0026,Automotive sensor,Evening,QA-0026: Automotive sensor lot L-26 solder bridge on control board affecting 2% of units. Rework queue initiated.,Major
QA-0027,Hydraulic valve,Day,Inspection 27: surface finish on Hydraulic valve batch B-27 slightly below spec on non-critical panel.,Minor
QA-0028,Hydraulic valve,Evening,QA-0028: Hydraulic valve unit 28 passed dimensional check with minor cosmetic scratch. No functional impact.,Minor
QA-0029,Medical device housing,Day,Line audit 29: torque variance on Medical device housing assembly; 5 units exceed upper control limit.,Major
QA-0030,Hydraulic valve,Day,QA-0030: Hydraulic valve lot L-30 solder bridge on control board affecting 1% of units. Rework queue initiated.,Major
QA-0031,Medical device housing,Evening,Inspection 31: surface finish on Medical device housing batch B-31 slightly below spec on non-critical panel.,Minor
QA-0032,Automotive sensor,Day,QA-0032: Automotive sensor unit 32 passed dimensional check with minor cosmetic scratch. No functional impact.,Minor
QA-0033,PCB module,Night,Line audit 33: torque variance on PCB module assembly; 4 units exceed upper control limit.,Major
QA-0034,PCB module,Evening,CRITICAL QA-0034: PCB module serial 34 safety interlock failed stress test. Stop-ship issued.,Critical
QA-0035,PCB module,Evening,Inspection 35: surface finish on PCB module batch B-35 slightly below spec on non-critical panel.,Minor
QA-0036,Medical device housing,Evening,QA-0036: Medical device housing unit 36 passed dimensional check with minor cosmetic scratch. No functional impact.,Minor
QA-0037,Medical device housing,Evening,Line audit 37: torque variance on Medical device housing assembly; 3 units exceed upper control limit.,Major
QA-0038,PCB module,Evening,QA-0038: PCB module unit 38 passed dimensional check with minor cosmetic scratch. No functional impact.,Minor
QA-0039,PCB module,Evening,Inspection 39: surface finish on PCB module batch B-39 slightly below spec on non-critical panel.,Minor
QA-0040,Automotive sensor,Day,QA-0040: Automotive sensor unit 40 passed dimensional check with minor cosmetic scratch. No functional impact.,Minor
QA-0041,Hydraulic valve,Night,Inspection 41: surface finish on Hydraulic valve batch B-1 slightly below spec on non-critical panel.,Minor
QA-0042,Automotive sensor,Day,CRITICAL QA-0042: Automotive sensor serial 42 safety interlock failed stress test. Stop-ship issued.,Critical
QA-0043,Industrial pump,Day,Inspection 43: surface finish on Industrial pump batch B-3 slightly below spec on non-critical panel.,Minor
QA-0044,Hydraulic valve,Evening,QA-0044: Hydraulic valve unit 44 passed dimensional check with minor cosmetic scratch. No functional impact.,Minor
QA-0045,PCB module,Night,Inspection 45: surface finish on PCB module batch B-5 slightly below spec on non-critical panel.,Minor
QA-0046,Hydraulic valve,Day,QA-0046: Hydraulic valve unit 46 passed dimensional check with minor cosmetic scratch. No functional impact.,Minor
QA-0047,Medical device housing,Night,Inspection 47: surface finish on Medical device housing batch B-7 slightly below spec on non-critical panel.,Minor
QA-0048,PCB module,Day,QA-0048: PCB module unit 48 passed dimensional check with minor cosmetic scratch. No functional impact.,Minor
QA-0049,Industrial pump,Night,Inspection 49: surface finish on Industrial pump batch B-9 slightly below spec on non-critical panel.,Minor
QA-0050,Medical device housing,Night,QA-0050: Medical device housing lot L-50 solder bridge on control board affecting 1% of units. Rework queue initiated.,Major
QA-0051,Medical device housing,Night,Hold 51: Medical device housing weld crack on bracket batch W-21. Full lot recall recommended.,Critical
QA-0052,Medical device housing,Evening,QA-0052: Medical device housing lot L-52 solder bridge on control board affecting 3% of units. Rework queue initiated.,Major
QA-0053,Automotive sensor,Night,Line audit 53: torque variance on Automotive sensor assembly; 4 units exceed upper control limit.,Major
QA-0054,Automotive sensor,Evening,CRITICAL QA-0054: Automotive sensor serial 54 safety interlock failed stress test. Stop-ship issued.,Critical
QA-0055,Industrial pump,Night,Inspection 55: surface finish on Industrial pump batch B-15 slightly below spec on non-critical panel.,Minor
QA-0056,Medical device housing,Day,QA-0056: Medical device housing lot L-56 solder bridge on control board affecting 2% of units. Rework queue initiated.,Major
QA-0057,Automotive sensor,Night,Line audit 57: torque variance on Automotive sensor assembly; 3 units exceed upper control limit.,Major
QA-0058,Medical device housing,Evening,CRITICAL QA-0058: Medical device housing serial 58 safety interlock failed stress test. Stop-ship issued.,Critical
QA-0059,PCB module,Night,Hold 59: PCB module weld crack on bracket batch W-29. Full lot recall recommended.,Critical
QA-0060,PCB module,Day,QA-0060: PCB module lot L-60 solder bridge on control board affecting 1% of units. Rework queue initiated.,Major
QA-0061,Hydraulic valve,Day,Inspection 61: surface finish on Hydraulic valve batch B-21 slightly below spec on non-critical panel.,Minor
QA-0062,Industrial pump,Evening,QA-0062: Industrial pump unit 62 passed dimensional check with minor cosmetic scratch. No functional impact.,Minor
QA-0063,Medical device housing,Day,Line audit 63: torque variance on Medical device housing assembly; 4 units exceed upper control limit.,Major
QA-0064,Industrial pump,Evening,QA-0064: Industrial pump unit 64 passed dimensional check with minor cosmetic scratch. No functional impact.,Minor
QA-0065,Hydraulic valve,Night,Inspection 65: surface finish on Hydraulic valve batch B-25 slightly below spec on non-critical panel.,Minor
QA-0066,Automotive sensor,Evening,QA-0066: Automotive sensor lot L-66 solder bridge on control board affecting 2% of units. Rework queue initiated.,Major
QA-0067,Hydraulic valve,Night,Line audit 67: torque variance on Hydraulic valve assembly; 3 units exceed upper control limit.,Major
QA-0068,Hydraulic valve,Night,QA-0068: Hydraulic valve lot L-68 solder bridge on control board affecting 4% of units. Rework queue initiated.,Major
QA-0069,Medical device housing,Day,Inspection 69: surface finish on Medical device housing batch B-29 slightly below spec on non-critical panel.,Minor
QA-0070,PCB module,Evening,QA-0070: PCB module lot L-70 solder bridge on control board affecting 1% of units. Rework queue initiated.,Major
QA-0071,PCB module,Evening,Inspection 71: surface finish on PCB module batch B-31 slightly below spec on non-critical panel.,Minor
QA-0072,Automotive sensor,Evening,QA-0072: Automotive sensor lot L-72 solder bridge on control board affecting 3% of units. Rework queue initiated.,Major
QA-0073,Automotive sensor,Evening,Inspection 73: surface finish on Automotive sensor batch B-33 slightly below spec on non-critical panel.,Minor
QA-0074,Hydraulic valve,Evening,QA-0074: Hydraulic valve unit 74 passed dimensional check with minor cosmetic scratch. No functional impact.,Minor
QA-0075,Industrial pump,Night,Line audit 75: torque variance on Industrial pump assembly; 1 units exceed upper control limit.,Major
QA-0076,Automotive sensor,Day,QA-0076: Automotive sensor lot L-76 solder bridge on control board affecting 2% of units. Rework queue initiated.,Major
QA-0077,Medical device housing,Evening,Hold 77: Medical device housing weld crack on bracket batch W-17. Full lot recall recommended.,Critical
QA-0078,Hydraulic valve,Night,QA-0078: Hydraulic valve lot L-78 solder bridge on control board affecting 4% of units. Rework queue initiated.,Major
QA-0079,Hydraulic valve,Evening,Inspection 79: surface finish on Hydraulic valve batch B-39 slightly below spec on non-critical panel.,Minor
QA-0080,Automotive sensor,Day,QA-0080: Automotive sensor lot L-80 solder bridge on control board affecting 1% of units. Rework queue initiated.,Major
QA-0081,Industrial pump,Evening,Inspection 81: surface finish on Industrial pump batch B-1 slightly below spec on non-critical panel.,Minor
QA-0082,Hydraulic valve,Night,QA-0082: Hydraulic valve unit 82 passed dimensional check with minor cosmetic scratch. No functional impact.,Minor
QA-0083,PCB module,Night,Line audit 83: torque variance on PCB module assembly; 4 units exceed upper control limit.,Major
QA-0084,Medical device housing,Night,QA-0084: Medical device housing lot L-84 solder bridge on control board affecting 5% of units. Rework queue initiated.,Major
QA-0085,Automotive sensor,Day,Hold 85: Automotive sensor weld crack on bracket batch W-25. Full lot recall recommended.,Critical
QA-0086,PCB module,Day,CRITICAL QA-0086: PCB module serial 86 safety interlock failed stress test. Stop-ship issued.,Critical
QA-0087,Industrial pump,Day,Inspection 87: surface finish on Industrial pump batch B-7 slightly below spec on non-critical panel.,Minor
QA-0088,PCB module,Night,QA-0088: PCB module unit 88 passed dimensional check with minor cosmetic scratch. No functional impact.,Minor
QA-0089,Hydraulic valve,Evening,Inspection 89: surface finish on Hydraulic valve batch B-9 slightly below spec on non-critical panel.,Minor
QA-0090,Medical device housing,Day,CRITICAL QA-0090: Medical device housing serial 90 safety interlock failed stress test. Stop-ship issued.,Critical
QA-0091,Industrial pump,Day,Inspection 91: surface finish on Industrial pump batch B-11 slightly below spec on non-critical panel.,Minor
QA-0092,Industrial pump,Evening,CRITICAL QA-0092: Industrial pump serial 92 safety interlock failed stress test. Stop-ship issued.,Critical
QA-0093,Medical device housing,Evening,Inspection 93: surface finish on Medical device housing batch B-13 slightly below spec on non-critical panel.,Minor
QA-0094,Automotive sensor,Night,QA-0094: Automotive sensor unit 94 passed dimensional check with minor cosmetic scratch. No functional impact.,Minor
QA-0095,Medical device housing,Evening,Line audit 95: torque variance on Medical device housing assembly; 1 units exceed upper control limit.,Major
QA-0096,PCB module,Night,QA-0096: PCB module lot L-96 solder bridge on control board affecting 2% of units. Rework queue initiated.,Major
QA-0097,Industrial pump,Night,Inspection 97: surface finish on Industrial pump batch B-17 slightly below spec on non-critical panel.,Minor
QA-0098,Industrial pump,Day,QA-0098: Industrial pump unit 98 passed dimensional check with minor cosmetic scratch. No functional impact.,Minor
QA-0099,PCB module,Evening,Hold 99: PCB module weld crack on bracket batch W-9. Full lot recall recommended.,Critical
QA-0100,Industrial pump,Day,CRITICAL QA-0100: Industrial pump serial 100 safety interlock failed stress test. Stop-ship issued.,Critical
QA-0101,PCB module,Day,Inspection 101: surface finish on PCB module batch B-21 slightly below spec on non-critical panel.,Minor
QA-0102,PCB module,Evening,QA-0102: PCB module unit 102 passed dimensional check with minor cosmetic scratch. No functional impact.,Minor
QA-0103,Medical device housing,Day,Line audit 103: torque variance on Medical device housing assembly; 4 units exceed upper control limit.,Major
QA-0104,Automotive sensor,Day,QA-0104: Automotive sensor lot L-104 solder bridge on control board affecting 5% of units. Rework queue initiated.,Major
QA-0105,Medical device housing,Evening,Hold 105: Medical device housing weld crack on bracket batch W-15. Full lot recall recommended.,Critical
QA-0106,Automotive sensor,Evening,QA-0106: Automotive sensor unit 106 passed dimensional check with minor cosmetic scratch. No functional impact.,Minor
QA-0107,Medical device housing,Evening,Hold 107: Medical device housing weld crack on bracket batch W-17. Full lot recall recommended.,Critical
QA-0108,PCB module,Evening,QA-0108: PCB module unit 108 passed dimensional check with minor cosmetic scratch. No functional impact.,Minor
QA-0109,Industrial pump,Evening,Hold 109: Industrial pump weld crack on bracket batch W-19. Full lot recall recommended.,Critical
QA-0110,Automotive sensor,Evening,QA-0110: Automotive sensor lot L-110 solder bridge on control board affecting 1% of units. Rework queue initiated.,Major
QA-0111,Medical device housing,Night,Hold 111: Medical device housing weld crack on bracket batch W-21. Full lot recall recommended.,Critical
QA-0112,PCB module,Night,QA-0112: PCB module unit 112 passed dimensional check with minor cosmetic scratch. No functional impact.,Minor
QA-0113,Automotive sensor,Day,Line audit 113: torque variance on Automotive sensor assembly; 4 units exceed upper control limit.,Major
QA-0114,Automotive sensor,Evening,QA-0114: Automotive sensor unit 114 passed dimensional check with minor cosmetic scratch. No functional impact.,Minor
QA-0115,Medical device housing,Night,Inspection 115: surface finish on Medical device housing batch B-35 slightly below spec on non-critical panel.,Minor
QA-0116,Automotive sensor,Night,QA-0116: Automotive sensor unit 116 passed dimensional check with minor cosmetic scratch. No functional impact.,Minor
QA-0117,Industrial pump,Day,Inspection 117: surface finish on Industrial pump batch B-37 slightly below spec on non-critical panel.,Minor
QA-0118,PCB module,Day,QA-0118: PCB module lot L-118 solder bridge on control board affecting 4% of units. Rework queue initiated.,Major
QA-0119,Hydraulic valve,Day,Line audit 119: torque variance on Hydraulic valve assembly; 5 units exceed upper control limit.,Major
QA-0120,Medical device housing,Day,QA-0120: Medical device housing lot L-120 solder bridge on control board affecting 1% of units. Rework queue initiated.,Major
QA-0121,Hydraulic valve,Day,Inspection 121: surface finish on Hydraulic valve batch B-1 slightly below spec on non-critical panel.,Minor
QA-0122,Industrial pump,Evening,CRITICAL QA-0122: Industrial pump serial 122 safety interlock failed stress test. Stop-ship issued.,Critical
QA-0123,Medical device housing,Day,Inspection 123: surface finish on Medical device housing batch B-3 slightly below spec on non-critical panel.,Minor
QA-0124,Automotive sensor,Day,QA-0124: Automotive sensor unit 124 passed dimensional check with minor cosmetic scratch. No functional impact.,Minor
QA-0125,Industrial pump,Day,Line audit 125: torque variance on Industrial pump assembly; 1 units exceed upper control limit.,Major
QA-0126,Medical device housing,Evening,QA-0126: Medical device housing lot L-126 solder bridge on control board affecting 2% of units. Rework queue initiated.,Major
QA-0127,PCB module,Evening,Inspection 127: surface finish on PCB module batch B-7 slightly below spec on non-critical panel.,Minor
QA-0128,Automotive sensor,Night,CRITICAL QA-0128: Automotive sensor serial 128 safety interlock failed stress test. Stop-ship issued.,Critical
QA-0129,Hydraulic valve,Day,Inspection 129: surface finish on Hydraulic valve batch B-9 slightly below spec on non-critical panel.,Minor
QA-0130,Medical device housing,Evening,QA-0130: Medical device housing lot L-130 solder bridge on control board affecting 1% of units. Rework queue initiated.,Major
QA-0131,Automotive sensor,Day,Inspection 131: surface finish on Automotive sensor batch B-11 slightly below spec on non-critical panel.,Minor
QA-0132,PCB module,Day,QA-0132: PCB module lot L-132 solder bridge on control board affecting 3% of units. Rework queue initiated.,Major
QA-0133,Hydraulic valve,Night,Line audit 133: torque variance on Hydraulic valve assembly; 4 units exceed upper control limit.,Major
QA-0134,Industrial pump,Day,QA-0134: Industrial pump unit 134 passed dimensional check with minor cosmetic scratch. No functional impact.,Minor
QA-0135,Automotive sensor,Day,Line audit 135: torque variance on Automotive sensor assembly; 1 units exceed upper control limit.,Major
QA-0136,PCB module,Day,QA-0136: PCB module unit 136 passed dimensional check with minor cosmetic scratch. No functional impact.,Minor
QA-0137,PCB module,Day,Line audit 137: torque variance on PCB module assembly; 3 units exceed upper control limit.,Major
QA-0138,Medical device housing,Day,QA-0138: Medical device housing lot L-138 solder bridge on control board affecting 4% of units. Rework queue initiated.,Major
QA-0139,Hydraulic valve,Day,Line audit 139: torque variance on Hydraulic valve assembly; 5 units exceed upper control limit.,Major
QA-0140,PCB module,Night,CRITICAL QA-0140: PCB module serial 140 safety interlock failed stress test. Stop-ship issued.,Critical
QA-0141,PCB module,Night,Inspection 141: surface finish on PCB module batch B-21 slightly below spec on non-critical panel.,Minor
QA-0142,PCB module,Night,QA-0142: PCB module unit 142 passed dimensional check with minor cosmetic scratch. No functional impact.,Minor
QA-0143,Medical device housing,Night,Line audit 143: torque variance on Medical device housing assembly; 4 units exceed upper control limit.,Major
QA-0144,Industrial pump,Night,QA-0144: Industrial pump unit 144 passed dimensional check with minor cosmetic scratch. No functional impact.,Minor
QA-0145,PCB module,Day,Line audit 145: torque variance on PCB module assembly; 1 units exceed upper control limit.,Major
QA-0146,PCB module,Evening,QA-0146: PCB module lot L-146 solder bridge on control board affecting 2% of units. Rework queue initiated.,Major
QA-0147,Medical device housing,Night,Inspection 147: surface finish on Medical device housing batch B-27 slightly below spec on non-critical panel.,Minor
QA-0148,Medical device housing,Evening,CRITICAL QA-0148: Medical device housing serial 148 safety interlock failed stress test. Stop-ship issued.,Critical
QA-0149,Industrial pump,Evening,Hold 149: Industrial pump weld crack on bracket batch W-29. Full lot recall recommended.,Critical
QA-0150,Automotive sensor,Evening,QA-0150: Automotive sensor unit 150 passed dimensional check with minor cosmetic scratch. No functional impact.,Minor
