inspection_id,product_line,shift,qa_report,defect_severity
QA-0301,Hydraulic valve,Day,Hold 301: Hydraulic valve weld crack on bracket batch W-1. Full lot recall recommended.,Critical
QA-0302,Hydraulic valve,Day,QA-0302: Hydraulic valve lot L-302 solder bridge on control board affecting 3% of units. Rework queue initiated.,Major
QA-0303,PCB module,Day,Line audit 303: torque variance on PCB module assembly; 4 units exceed upper control limit.,Major
QA-0304,Industrial pump,Day,QA-0304: Industrial pump lot L-304 solder bridge on control board affecting 5% of units. Rework queue initiated.,Major
QA-0305,PCB module,Night,Line audit 305: torque variance on PCB module assembly; 1 units exceed upper control limit.,Major
QA-0306,Industrial pump,Evening,QA-0306: Industrial pump unit 306 passed dimensional check with minor cosmetic scratch. No functional impact.,Minor
QA-0307,PCB module,Night,Line audit 307: torque variance on PCB module assembly; 3 units exceed upper control limit.,Major
QA-0308,Industrial pump,Evening,QA-0308: Industrial pump unit 308 passed dimensional check with minor cosmetic scratch. No functional impact.,Minor
QA-0309,Medical device housing,Evening,Line audit 309: torque variance on Medical device housing assembly; 5 units exceed upper control limit.,Major
QA-0310,Medical device housing,Day,QA-0310: Medical device housing unit 310 passed dimensional check with minor cosmetic scratch. No functional impact.,Minor
QA-0311,PCB module,Night,Inspection 311: surface finish on PCB module batch B-31 slightly below spec on non-critical panel.,Minor
QA-0312,Automotive sensor,Night,QA-0312: Automotive sensor unit 312 passed dimensional check with minor cosmetic scratch. No functional impact.,Minor
QA-0313,PCB module,Evening,Line audit 313: torque variance on PCB module assembly; 4 units exceed upper control limit.,Major
QA-0314,Industrial pump,Evening,QA-0314: Industrial pump lot L-314 solder bridge on control board affecting 5% of units. Rework queue initiated.,Major
QA-0315,Hydraulic valve,Day,Hold 315: Hydraulic valve weld crack on bracket batch W-15. Full lot recall recommended.,Critical
QA-0316,Medical device housing,Night,CRITICAL QA-0316: Medical device housing serial 316 safety interlock failed stress test. Stop-ship issued.,Critical
QA-0317,Hydraulic valve,Night,Inspection 317: surface finish on Hydraulic valve batch B-37 slightly below spec on non-critical panel.,Minor
QA-0318,Automotive sensor,Day,QA-0318: Automotive sensor lot L-318 solder bridge on control board affecting 4% of units. Rework queue initiated.,Major
QA-0319,Hydraulic valve,Evening,Line audit 319: torque variance on Hydraulic valve assembly; 5 units exceed upper control limit.,Major
QA-0320,Medical device housing,Evening,QA-0320: Medical device housing lot L-320 solder bridge on control board affecting 1% of units. Rework queue initiated.,Major
QA-0321,Automotive sensor,Day,Inspection 321: surface finish on Automotive sensor batch B-1 slightly below spec on non-critical panel.,Minor
QA-0322,Medical device housing,Day,QA-0322: Medical device housing unit 322 passed dimensional check with minor cosmetic scratch. No functional impact.,Minor
QA-0323,PCB module,Evening,Inspection 323: surface finish on PCB module batch B-3 slightly below spec on non-critical panel.,Minor
QA-0324,Medical device housing,Evening,QA-0324: Medical device housing unit 324 passed dimensional check with minor cosmetic scratch. No functional impact.,Minor
QA-0325,Hydraulic valve,Evening,Inspection 325: surface finish on Hydraulic valve batch B-5 slightly below spec on non-critical panel.,Minor
QA-0326,Industrial pump,Evening,QA-0326: Industrial pump unit 326 passed dimensional check with minor cosmetic scratch. No functional impact.,Minor
QA-0327,PCB module,Night,Inspection 327: surface finish on PCB module batch B-7 slightly below spec on non-critical panel.,Minor
QA-0328,Hydraulic valve,Day,QA-0328: Hydraulic valve lot L-328 solder bridge on control board affecting 4% of units. Rework queue initiated.,Major
QA-0329,Hydraulic valve,Day,Inspection 329: surface finish on Hydraulic valve batch B-9 slightly below spec on non-critical panel.,Minor
QA-0330,Automotive sensor,Evening,QA-0330: Automotive sensor unit 330 passed dimensional check with minor cosmetic scratch. No functional impact.,Minor
QA-0331,Hydraulic valve,Day,Line audit 331: torque variance on Hydraulic valve assembly; 2 units exceed upper control limit.,Major
QA-0332,Industrial pump,Evening,CRITICAL QA-0332: Industrial pump serial 332 safety interlock failed stress test. Stop-ship issued.,Critical
QA-0333,Hydraulic valve,Evening,Inspection 333: surface finish on Hydraulic valve batch B-13 slightly below spec on non-critical panel.,Minor
QA-0334,Industrial pump,Evening,QA-0334: Industrial pump unit 334 passed dimensional check with minor cosmetic scratch. No functional impact.,Minor
QA-0335,Hydraulic valve,Day,Hold 335: Hydraulic valve weld crack on bracket batch W-5. Full lot recall recommended.,Critical
QA-0336,Industrial pump,Night,QA-0336: Industrial pump unit 336 passed dimensional check with minor cosmetic scratch. No functional impact.,Minor
QA-0337,Automotive sensor,Day,Hold 337: Automotive sensor weld crack on bracket batch W-7. Full lot recall recommended.,Critical
QA-0338,Medical device housing,Day,QA-0338: Medical device housing lot L-338 solder bridge on control board affecting 4% of units. Rework queue initiated.,Major
QA-0339,Medical device housing,Night,Inspection 339: surface finish on Medical device housing batch B-19 slightly below spec on non-critical panel.,Minor
QA-0340,Medical device housing,Day,CRITICAL QA-0340: Medical device housing serial 340 safety interlock failed stress test. Stop-ship issued.,Critical
QA-0341,Automotive sensor,Evening,Line audit 341: torque variance on Automotive sensor assembly; 2 units exceed upper control limit.,Major
QA-0342,Industrial pump,Evening,QA-0342: Industrial pump unit 342 passed dimensional check with minor cosmetic scratch. No functional impact.,Minor
QA-0343,Automotive sensor,Night,Line audit 343: torque variance on Automotive sensor assembly; 4 units exceed upper control limit.,Major
QA-0344,Automotive sensor,Night,QA-0344: Automotive sensor lot L-344 solder bridge on control board affecting 5% of units. Rework queue initiated.,Major
QA-0345,PCB module,Night,Line audit 345: torque variance on PCB module assembly; 1 units exceed upper control limit.,Major
QA-0346,Automotive sensor,Evening,CRITICAL QA-0346: Automotive sensor serial 346 safety interlock failed stress test. Stop-ship issued.,Critical
QA-0347,Medical device housing,Evening,Inspection 347: surface finish on Medical device housing batch B-27 slightly below spec on non-critical panel.,Minor
QA-0348,Medical device housing,Night,QA-0348: Medical device housing unit 348 passed dimensional check with minor cosmetic scratch. No functional impact.,Minor
QA-0349,Hydraulic valve,Night,Inspection 349: surface finish on Hydraulic valve batch B-29 slightly below spec on non-critical panel.,Minor
QA-0350,Medical device housing,Day,QA-0350: Medical device housing lot L-350 solder bridge on control board affecting 1% of units. Rework queue initiated.,Major
QA-0351,Medical device housing,Day,Line audit 351: torque variance on Medical device housing assembly; 2 units exceed upper control limit.,Major
QA-0352,Medical device housing,Evening,QA-0352: Medical device housing lot L-352 solder bridge on control board affecting 3% of units. Rework queue initiated.,Major
QA-0353,PCB module,Night,Line audit 353: torque variance on PCB module assembly; 4 units exceed upper control limit.,Major
QA-0354,PCB module,Evening,QA-0354: PCB module unit 354 passed dimensional check with minor cosmetic scratch. No functional impact.,Minor
QA-0355,PCB module,Night,Inspection 355: surface finish on PCB module batch B-35 slightly below spec on non-critical panel.,Minor
QA-0356,PCB module,Day,QA-0356: PCB module lot L-356 solder bridge on control board affecting 2% of units. Rework queue initiated.,Major
QA-0357,Medical device housing,Day,Line audit 357: torque variance on Medical device housing assembly; 3 units exceed upper control limit.,Major
QA-0358,Medical device housing,Day,QA-0358: Medical device housing lot L-358 solder bridge on control board affecting 4% of units. Rework queue initiated.,Major
QA-0359,Industrial pump,Night,Line audit 359: torque variance on Industrial pump assembly; 5 units exceed upper control limit.,Major
QA-0360,Industrial pump,Day,QA-0360: Industrial pump lot L-360 solder bridge on control board affecting 1% of units. Rework queue initiated.,Major
QA-0361,PCB module,Night,Inspection 361: surface finish on PCB module batch B-1 slightly below spec on non-critical panel.,Minor
QA-0362,Automotive sensor,Night,CRITICAL QA-0362: Automotive sensor serial 362 safety interlock failed stress test. Stop-ship issued.,Critical
QA-0363,Hydraulic valve,Night,Inspection 363: surface finish on Hydraulic valve batch B-3 slightly below spec on non-critical panel.,Minor
QA-0364,Industrial pump,Day,QA-0364: Industrial pump lot L-364 solder bridge on control board affecting 5% of units. Rework queue initiated.,Major
QA-0365,Medical device housing,Evening,Line audit 365: torque variance on Medical device housing assembly; 1 units exceed upper control limit.,Major
QA-0366,Industrial pump,Evening,QA-0366: Industrial pump unit 366 passed dimensional check with minor cosmetic scratch. No functional impact.,Minor
QA-0367,PCB module,Evening,Inspection 367: surface finish on PCB module batch B-7 slightly below spec on non-critical panel.,Minor
QA-0368,PCB module,Night,QA-0368: PCB module unit 368 passed dimensional check with minor cosmetic scratch. No functional impact.,Minor
QA-0369,Hydraulic valve,Day,Line audit 369: torque variance on Hydraulic valve assembly; 5 units exceed upper control limit.,Major
QA-0370,Medical device housing,Evening,QA-0370: Medical device housing unit 370 passed dimensional check with minor cosmetic scratch. No functional impact.,Minor
QA-0371,Automotive sensor,Day,Line audit 371: torque variance on Automotive sensor assembly; 2 units exceed upper control limit.,Major
QA-0372,Medical device housing,Night,QA-0372: Medical device housing lot L-372 solder bridge on control board affecting 3% of units. Rework queue initiated.,Major
QA-0373,Industrial pump,Night,Hold 373: Industrial pump weld crack on bracket batch W-13. Full lot recall recommended.,Critical
QA-0374,Medical device housing,Evening,CRITICAL QA-0374: Medical device housing serial 374 safety interlock failed stress test. Stop-ship issued.,Critical
QA-0375,Industrial pump,Night,Line audit 375: torque variance on Industrial pump assembly; 1 units exceed upper control limit.,Major
QA-0376,Medical device housing,Evening,QA-0376: Medical device housing lot L-376 solder bridge on control board affecting 2% of units. Rework queue initiated.,Major
QA-0377,Medical device housing,Evening,Line audit 377: torque variance on Medical device housing assembly; 3 units exceed upper control limit.,Major
QA-0378,Automotive sensor,Day,QA-0378: Automotive sensor unit 378 passed dimensional check with minor cosmetic scratch. No functional impact.,Minor
QA-0379,Industrial pump,Night,Inspection 379: surface finish on Industrial pump batch B-19 slightly below spec on non-critical panel.,Minor
QA-0380,PCB module,Evening,QA-0380: PCB module lot L-380 solder bridge on control board affecting 1% of units. Rework queue initiated.,Major
QA-0381,PCB module,Day,Line audit 381: torque variance on PCB module assembly; 2 units exceed upper control limit.,Major
QA-0382,PCB module,Night,QA-0382: PCB module lot L-382 solder bridge on control board affecting 3% of units. Rework queue initiated.,Major
QA-0383,Industrial pump,Night,Line audit 383: torque variance on Industrial pump assembly; 4 units exceed upper control limit.,Major
QA-0384,Medical device housing,Day,QA-0384: Medical device housing unit 384 passed dimensional check with minor cosmetic scratch. No functional impact.,Minor
QA-0385,Automotive sensor,Night,Hold 385: Automotive sensor weld crack on bracket batch W-25. Full lot recall recommended.,Critical
QA-0386,Automotive sensor,Evening,CRITICAL QA-0386: Automotive sensor serial 386 safety interlock failed stress test. Stop-ship issued.,Critical
QA-0387,Automotive sensor,Evening,Inspection 387: surface finish on Automotive sensor batch B-27 slightly below spec on non-critical panel.,Minor
QA-0388,Hydraulic valve,Day,CRITICAL QA-0388: Hydraulic valve serial 388 safety interlock failed stress test. Stop-ship issued.,Critical
QA-0389,Automotive sensor,Night,Inspection 389: surface finish on Automotive sensor batch B-29 slightly below spec on non-critical panel.,Minor
QA-0390,Medical device housing,Night,CRITICAL QA-0390: Medical device housing serial 390 safety interlock failed stress test. Stop-ship issued.,Critical
QA-0391,Industrial pump,Evening,Inspection 391: surface finish on Industrial pump batch B-31 slightly below spec on non-critical panel.,Minor
QA-0392,Automotive sensor,Day,QA-0392: Automotive sensor unit 392 passed dimensional check with minor cosmetic scratch. No functional impact.,Minor
QA-0393,Automotive sensor,Evening,Inspection 393: surface finish on Automotive sensor batch B-33 slightly below spec on non-critical panel.,Minor
QA-0394,PCB module,Day,CRITICAL QA-0394: PCB module serial 394 safety interlock failed stress test. Stop-ship issued.,Critical
QA-0395,Automotive sensor,Night,Hold 395: Automotive sensor weld crack on bracket batch W-5. Full lot recall recommended.,Critical
QA-0396,Automotive sensor,Evening,CRITICAL QA-0396: Automotive sensor serial 396 safety interlock failed stress test. Stop-ship issued.,Critical
QA-0397,Medical device housing,Day,Inspection 397: surface finish on Medical device housing batch B-37 slightly below spec on non-critical panel.,Minor
QA-0398,Medical device housing,Night,QA-0398: Medical device housing lot L-398 solder bridge on control board affecting 4% of units. Rework queue initiated.,Major
QA-0399,Hydraulic valve,Day,Inspection 399: surface finish on Hydraulic valve batch B-39 slightly below spec on non-critical panel.,Minor
QA-0400,Hydraulic valve,Night,QA-0400: Hydraulic valve lot L-400 solder bridge on control board affecting 1% of units. Rework queue initiated.,Major
QA-0401,Medical device housing,Evening,Inspection 401: surface finish on Medical device housing batch B-1 slightly below spec on non-critical panel.,Minor
QA-0402,PCB module,Evening,QA-0402: PCB module unit 402 passed dimensional check with minor cosmetic scratch. No functional impact.,Minor
QA-0403,PCB module,Evening,Hold 403: PCB module weld crack on bracket batch W-13. Full lot recall recommended.,Critical
QA-0404,Medical device housing,Night,CRITICAL QA-0404: Medical device housing serial 404 safety interlock failed stress test. Stop-ship issued.,Critical
QA-0405,Automotive sensor,Evening,Line audit 405: torque variance on Automotive sensor assembly; 1 units exceed upper control limit.,Major
QA-0406,Industrial pump,Day,QA-0406: Industrial pump lot L-406 solder bridge on control board affecting 2% of units. Rework queue initiated.,Major
QA-0407,Industrial pump,Evening,Inspection 407: surface finish on Industrial pump batch B-7 slightly below spec on non-critical panel.,Minor
QA-0408,Medical device housing,Evening,QA-0408: Medical device housing unit 408 passed dimensional check with minor cosmetic scratch. No functional impact.,Minor
QA-0409,Automotive sensor,Day,Hold 409: Automotive sensor weld crack on bracket batch W-19. Full lot recall recommended.,Critical
QA-0410,Hydraulic valve,Evening,CRITICAL QA-0410: Hydraulic valve serial 410 safety interlock failed stress test. Stop-ship issued.,Critical
QA-0411,Hydraulic valve,Evening,Hold 411: Hydraulic valve weld crack on bracket batch W-21. Full lot recall recommended.,Critical
QA-0412,Medical device housing,Night,QA-0412: Medical device housing lot L-412 solder bridge on control board affecting 3% of units. Rework queue initiated.,Major
QA-0413,Automotive sensor,Day,Inspection 413: surface finish on Automotive sensor batch B-13 slightly below spec on non-critical panel.,Minor
QA-0414,Hydraulic valve,Evening,QA-0414: Hydraulic valve unit 414 passed dimensional check with minor cosmetic scratch. No functional impact.,Minor
QA-0415,Hydraulic valve,Night,Inspection 415: surface finish on Hydraulic valve batch B-15 slightly below spec on non-critical panel.,Minor
QA-0416,Industrial pump,Night,QA-0416: Industrial pump lot L-416 solder bridge on control board affecting 2% of units. Rework queue initiated.,Major
QA-0417,Medical device housing,Night,Inspection 417: surface finish on Medical device housing batch B-17 slightly below spec on non-critical panel.,Minor
QA-0418,Industrial pump,Night,QA-0418: Industrial pump unit 418 passed dimensional check with minor cosmetic scratch. No functional impact.,Minor
QA-0419,PCB module,Evening,Inspection 419: surface finish on PCB module batch B-19 slightly below spec on non-critical panel.,Minor
QA-0420,Industrial pump,Night,QA-0420: Industrial pump unit 420 passed dimensional check with minor cosmetic scratch. No functional impact.,Minor
QA-0421,PCB module,Evening,Line audit 421: torque variance on PCB module assembly; 2 units exceed upper control limit.,Major
QA-0422,Industrial pump,Day,CRITICAL QA-0422: Industrial pump serial 422 safety interlock failed stress test. Stop-ship issued.,Critical
QA-0423,Hydraulic valve,Day,Inspection 423: surface finish on Hydraulic valve batch B-23 slightly below spec on non-critical panel.,Minor
QA-0424,Industrial pump,Night,CRITICAL QA-0424: Industrial pump serial 424 safety interlock failed stress test. Stop-ship issued.,Critical
QA-0425,PCB module,Night,Line audit 425: torque variance on PCB module assembly; 1 units exceed upper control limit.,Major
QA-0426,Medical device housing,Evening,CRITICAL QA-0426: Medical device housing serial 426 safety interlock failed stress test. Stop-ship issued.,Critical
QA-0427,Hydraulic valve,Night,Hold 427: Hydraulic valve weld crack on bracket batch W-7. Full lot recall recommended.,Critical
QA-0428,Medical device housing,Night,QA-0428: Medical device housing lot L-428 solder bridge on control board affecting 4% of units. Rework queue initiated.,Major
QA-0429,Medical device housing,Night,Hold 429: Medical device housing weld crack on bracket batch W-9. Full lot recall recommended.,Critical
QA-0430,Medical device housing,Day,CRITICAL QA-0430: Medical device housing serial 430 safety interlock failed stress test. Stop-ship issued.,Critical
QA-0431,PCB module,Evening,Inspection 431: surface finish on PCB module batch B-31 slightly below spec on non-critical panel.,Minor
QA-0432,Automotive sensor,Night,CRITICAL QA-0432: Automotive sensor serial 432 safety interlock failed stress test. Stop-ship issued.,Critical
QA-0433,Automotive sensor,Night,Line audit 433: torque variance on Automotive sensor assembly; 4 units exceed upper control limit.,Major
QA-0434,Automotive sensor,Night,QA-0434: Automotive sensor unit 434 passed dimensional check with minor cosmetic scratch. No functional impact.,Minor
QA-0435,Medical device housing,Night,Line audit 435: torque variance on Medical device housing assembly; 1 units exceed upper control limit.,Major
QA-0436,Industrial pump,Evening,QA-0436: Industrial pump lot L-436 solder bridge on control board affecting 2% of units. Rework queue initiated.,Major
QA-0437,Industrial pump,Evening,Line audit 437: torque variance on Industrial pump assembly; 3 units exceed upper control limit.,Major
QA-0438,Hydraulic valve,Evening,QA-0438: Hydraulic valve lot L-438 solder bridge on control board affecting 4% of units. Rework queue initiated.,Major
QA-0439,Medical device housing,Night,Line audit 439: torque variance on Medical device housing assembly; 5 units exceed upper control limit.,Major
QA-0440,PCB module,Day,QA-0440: PCB module lot L-440 solder bridge on control board affecting 1% of units. Rework queue initiated.,Major
QA-0441,Medical device housing,Evening,Line audit 441: torque variance on Medical device housing assembly; 2 units exceed upper control limit.,Major
QA-0442,Medical device housing,Day,CRITICAL QA-0442: Medical device housing serial 442 safety interlock failed stress test. Stop-ship issued.,Critical
QA-0443,Automotive sensor,Night,Hold 443: Automotive sensor weld crack on bracket batch W-23. Full lot recall recommended.,Critical
QA-0444,Automotive sensor,Day,QA-0444: Automotive sensor lot L-444 solder bridge on control board affecting 5% of units. Rework queue initiated.,Major
QA-0445,Industrial pump,Evening,Inspection 445: surface finish on Industrial pump batch B-5 slightly below spec on non-critical panel.,Minor
QA-0446,Industrial pump,Night,CRITICAL QA-0446: Industrial pump serial 446 safety interlock failed stress test. Stop-ship issued.,Critical
QA-0447,Automotive sensor,Day,Hold 447: Automotive sensor weld crack on bracket batch W-27. Full lot recall recommended.,Critical
QA-0448,Automotive sensor,Evening,QA-0448: Automotive sensor unit 448 passed dimensional check with minor cosmetic scratch. No functional impact.,Minor
QA-0449,Automotive sensor,Night,Inspection 449: surface finish on Automotive sensor batch B-9 slightly below spec on non-critical panel.,Minor
QA-0450,Automotive sensor,Evening,QA-0450: Automotive sensor unit 450 passed dimensional check with minor cosmetic scratch. No functional impact.,Minor
